LO-ID,Subject,S-ID,Topic,T-ID,Start Learning Objective,Learning Objective Verb,Content Learning Objective ,"Level
(Bloom)",BA,MA,ECR,DS,FK,CK,PK,MK,Complete Learning Objective
01_001_0073,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,basic steps for creating a research data policy.,2,,,,x,x,x,,,Learners are able to explain basic steps for creating a research data policy.
01_001_0074,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,develop,strategies for implementing and communicating research data policies.,6,,,,x,x,x,x,x,Learners are able to develop strategies for implementing and communicating research data policies.
01_001_0075,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,design,didactic scenarios on research data policies.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on research data policies.
01_001_0076,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,carry out,didactic scenarios on research data policies.,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on research data policies.
01_001_0077,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,design,consultancy scenarios on research data policies.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on research data policies.
01_001_0078,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_005,Learners are able to,carry out,consultancy on research data policies.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on research data policies.
01_001_0079,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,name,stages of the research data life cycle.,1,x,x,x,x,x,,,,Learners are able to name stages of the research data life cycle.
01_001_0080,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,explain,stages of the research data life cycle.,2,x,x,x,x,x,x,,,Learners are able to explain stages of the research data life cycle.
01_001_0081,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,apply,the research data life cycle for research projects.,3,,,x,x,x,x,x,,Learners are able to apply the research data life cycle for research projects.
01_001_0082,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,name,research data management (RDM) measures in various stages of the research data life cycle.,1,x,x,x,x,x,,,,Learners are able to name research data management (RDM) measures in various stages of the research data life cycle.
01_001_0083,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,explain,research data management (RDM) measures in various stages of the research data life cycle.,2,,x,x,x,x,x,,,Learners are able to explain research data management (RDM) measures in various stages of the research data life cycle.
01_001_0084,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,associate,their own activities in a research process to the stages of the research data life cycle.,4,x,x,x,x,x,x,x,,Learners are able to associate their own activities in a research process to the stages of the research data life cycle.
01_001_0085,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,associate,activities in the research process to the stages of the research data life cycle.,4,,x,x,x,x,x,x,,Learners are able to associate activities in the research process to the stages of the research data life cycle.
01_001_0086,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,explain,the creation of data management plans within the research data life cycle.,2,,,x,x,x,x,,,Learners are able to explain the creation of data management plans within the research data life cycle.
01_001_0087,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,explain,the implementation of data management plans within the research data life cycle.,2,,,x,x,x,x,,,Learners are able to explain the implementation of data management plans within the research data life cycle.
01_001_0088,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,design,didactic scenarios on the research data life cycle.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the research data life cycle.
01_001_0089,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,carry out,didactic scenarios on the research data life cycle.,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the research data life cycle.
01_001_0090,Fundamental and comprehensive concepts,01,research data life cycle,01_005,Learners are able to,design,consultancy scenarios on the research data life cycle.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the research data life cycle.
01_001_0091,Fundamental and comprehensive concepts,01,research data life cycle,01_006,Learners are able to,carry out,consultancy on the research data life cycle.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the research data life cycle.
01_001_0092,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,components of a data management plan.,1,x,x,x,x,x,,,,Learners are able to name components of a data management plan.
01_001_0093,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,components of a data management plan.,2, x, x, x, x,x,x,,,Learners are able to explain components of a data management plan.
01_001_0094,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,the relevance of a data management plan.,2,x,x,x,x,x,x,,,Learners are able to explain the relevance of a data management plan.
01_001_0095,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,discuss,the relevance of a data management plan.,4,,,x,x,x,x,x,x,Learners are able to discuss the relevance of a data management plan.
01_001_0096,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,the benefits of a data management plan.,2,x,x,x,x,x,x,,,Learners are able to explain the benefits of a data management plan.
01_001_0097,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,discuss,the benefits of a data management plan.,4,x,x,x,x,x,x,x,x,Learners are able to discuss the benefits of a data management plan.
01_001_0098,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,the requirements of various funding organisations with regards to data management plans.,1,,,x,x,x,,,,Learners are able to name the requirements of various funding organisations with regards to data management plans.
01_001_0099,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,the requirements of various funding organisations with regards to data management plans.,2,,,x,x,x,x,,,Learners are able to explain the requirements of various funding organisations with regards to data management plans.
01_001_0100,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,assessment criteria with regards to data management plans.,1,,,x,x,x,,,,Learners are able to name assessment criteria with regards to data management plans.
01_001_0101,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,assessment criteria with regards to data management plans.,2,,,x,x,x,x,,,Learners are able to explain assessment criteria with regards to data management plans.
01_001_0102,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,suitable software for creating data management plans.,1,x,x,x,x,x,,,,Learners are able to name suitable software for creating data management plans.
01_001_0103,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,functions of suitable software for creating data management plans.,2,,,x,x,x,x,,,Learners are able to explain functions of suitable software for creating data management plans.
01_001_0104,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,apply,suitable software for creating data management plans.,3,,,x,x,x,x,x,,Learners are able to apply suitable software for creating data management plans.
01_001_0105,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,develop,a data management plan under guidance.,6,x,x,x,x,x,x,x,x,Learners are able to develop a data management plan under guidance.
01_001_0106,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,develop,a data management plan independently.,6,,,x,x,x,x,x,x,Learners are able to develop a data management plan independently.
01_001_0107,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,evaluate,a data management plan with regards to compliance with funding guidelines.,5,,,x,x,x,x,x,x,Learners are able to evaluate a data management plan with regards to compliance with funding guidelines.
01_001_0108,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,design,templates for data management plans independently.,6,,,x,x,x,x,x,x,Learners are able to design templates for data management plans independently.
01_001_0109,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,Best practice examples for the use of data management plans from a researcher's perspective.,1,,,,x,x,,,,Learners are able to name Best practice examples for the use of data management plans from a researcher's perspective.
01_001_0110,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,Best practice examples for the use of data management plans from a researcher's perspective.,2,,,,x,x,x,,,Learners are able to explain Best practice examples for the use of data management plans from a researcher's perspective.
01_001_0111,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,explain,the national and international perspectives in relation to a data management plan.,2,,,,x,x,x,,,Learners are able to explain the national and international perspectives in relation to a data management plan.
01_001_0112,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,name,relevant (national and international) working groups on data management plans.,1,,,,x,x,,,,Learners are able to name relevant (national and international) working groups on data management plans.
01_001_0113,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,design,didactic scenarios on the topic of data management plans.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of data management plans.
01_001_0114,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,carry out,didactic scenarios on the topic of data management plan.,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of data management plan.
01_001_0115,Fundamental and comprehensive concepts,01,data management plan,01_006,Learners are able to,design,consultancy scenarios on the topic of data management plans.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of data management plans.
01_001_0116,Fundamental and comprehensive concepts,01,data management plan,01_007,Learners are able to,carry out,consultancy on the topic of data management plans.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of data management plans.
01_001_0117,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,name,the FAIR principles.,1,x,x,x,x,x,,,,Learners are able to name the FAIR principles.
01_001_0118,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,explain,the FAIR principles.,2,x,x,x,x,x,x,,,Learners are able to explain the FAIR principles.
01_001_0119,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,explain,the relevance of the FAIR principles for research data management (RDM).,2,x,x,x,x,x,x,,,Learners are able to explain the relevance of the FAIR principles for research data management (RDM).
01_001_0120,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,discuss,the relevance of the FAIR principles for research data management (RDM).,4,x,x,x,x,x,x,x,x,Learners are able to discuss the relevance of the FAIR principles for research data management (RDM).
01_001_0121,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,name,appropriate technologies to support the application of the FAIR principles.,1,,,,x,x,,,,Learners are able to name appropriate technologies to support the application of the FAIR principles.
01_001_0122,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,explain,appropriate technologies to support the application of the FAIR principles.,2,,,,x,x,x,,,Learners are able to explain appropriate technologies to support the application of the FAIR principles.
01_001_0123,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,apply,measures to implement the FAIR principles under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply measures to implement the FAIR principles under guidance.
01_001_0124,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,apply,measures to implement the FAIR principles independently.,3,,x,x,x,x,x,x,,Learners are able to apply measures to implement the FAIR principles independently.
01_001_0125,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,analyse,their own data management practices in the context of the FAIR principles.,4,,x,x,x,x,x,x,,Learners are able to analyse their own data management practices in the context of the FAIR principles.
01_001_0126,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,discuss,their own data management practices in the context of the FAIR principles.,4,,,x,x,x,x,x,x,Learners are able to discuss their own data management practices in the context of the FAIR principles.
01_001_0127,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,evaluate,their own data management practices in the context of the FAIR principles.,5,,,x,x,x,x,x,x,Learners are able to evaluate their own data management practices in the context of the FAIR principles.
01_001_0128,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,evaluate,data with regards to the FAIR principles.,5,x,x,x,x,x,x,x,x,Learners are able to evaluate data with regards to the FAIR principles.
01_001_0129,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,name,difficulties in implementing the FAIR principles.,1,,,x,x,x,,,,Learners are able to name difficulties in implementing the FAIR principles.
01_001_0130,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,explain,difficulties in implementing the FAIR principles.,2,,,x,x,x,x,,,Learners are able to explain difficulties in implementing the FAIR principles.
01_001_0131,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,discuss,difficulties in implementing the FAIR principles.,4,,,x,x,x,x,x,x,Learners are able to discuss difficulties in implementing the FAIR principles.
01_001_0132,Fundamental and comprehensive concepts,01,FAIR principles,01_007,Learners are able to,design,didactic scenarios on the topic of FAIR principles.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of FAIR principles.
