LZ-ID;Themencluster;Cl-ID;Thema;Th-ID;Lernziel Start;Lernziele Inhalt;Lernziel Verb;Stufe (Bloom);BA;MA;ECR;DS;SK;MK;SeK;SoK;Lernziel komplett;;
01_002_0026;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien;bewerten.;5;;;x;x;x;x;;;Lernende können zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien bewerten.;;
01_002_0027;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) nachhaltige Lösungsstrategien;konzipieren.;6;;;;x;x;x;;;Lernende können zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) nachhaltige Lösungsstrategien konzipieren.;;
01_002_0028;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;didaktische Szenarien zu Problemstellungen im Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können didaktische Szenarien zu Problemstellungen im Forschungsdatenmanagement (FDM) konzipieren.;;
01_002_0029;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;didaktische Szenarien zu Problemstellungen im Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können didaktische Szenarien zu Problemstellungen im Forschungsdatenmanagement (FDM) durchführen.;;
01_002_0030;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Beratungsszenarien zu Problemstellungen im Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zu Problemstellungen im Forschungsdatenmanagement (FDM) konzipieren.;;
01_002_0031;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Beratungen zu Problemstellungen im Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zu Problemstellungen im Forschungsdatenmanagement (FDM) durchführen.;;
01_003_0032;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Personen im Forschungsdatenmanagement (FDM);benennen.;1;x;x;x;x;x;;;;Lernende können Personen im Forschungsdatenmanagement (FDM) benennen.;;
01_003_0033;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Funktionen und Verantwortlichkeiten von Personen im Forschungsdatenmanagement (FDM);erläutern.;2;;x;x;x;x;;;;Lernende können Funktionen und Verantwortlichkeiten von Personen im Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0034;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Rollen im Forschungsdatenmanagement (FDM);benennen.;1;x;x;x;x;x;;;;Lernende können Rollen im Forschungsdatenmanagement (FDM) benennen.;;
01_003_0035;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Rollen im Forschungsdatenmanagement (FDM);erläutern.;2;;x;x;x;x;;;;Lernende können Rollen im Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0036;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;die eigene Rolle im Forschungsdatenmanagement (FDM);erläutern.;2;x;x;x;x;x;;;;Lernende können die eigene Rolle im Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0037;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;die eigene Rolle im Forschungsdatenmanagement (FDM);diskutieren.;4;;;x;x;x;x;x;x;Lernende können die eigene Rolle im Forschungsdatenmanagement (FDM) diskutieren.;;
01_003_0038;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;die eigenen Verantwortlichkeiten im Bereich Forschungsdatenmanagement (FDM);erläutern.;2;x;x;x;x;x;;;;Lernende können die eigenen Verantwortlichkeiten im Bereich Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0039;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;die eigenen Verantwortlichkeiten im Bereich Forschungsdatenmanagement (FDM);diskutieren.;4;x;x;x;x;x;x;x;x;Lernende können die eigenen Verantwortlichkeiten im Bereich Forschungsdatenmanagement (FDM) diskutieren.;;
01_003_0040;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Stakeholder im Forschungsdatenmanagement (FDM);benennen.;1;;x;x;x;x;;;;Lernende können Stakeholder im Forschungsdatenmanagement (FDM) benennen.;;
01_003_0041;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;die spezifischen Interessen und Anforderungen verschiedener Stakeholder im Forschungsdatenmanagement (FDM);erläutern.;2;;;x;x;x;;;;Lernende können die spezifischen Interessen und Anforderungen verschiedener Stakeholder im Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0042;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;verschiedene Typen von Data Stewards;benennen.;1;;;;x;x;;;;Lernende können verschiedene Typen von Data Stewards benennen.;;
01_003_0043;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;verschiedene Typen von Data Stewards;erläutern.;2;;;;x;x;;;;Lernende können verschiedene Typen von Data Stewards erläutern.;;
01_003_0044;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Aufgabengebiete von Data Stewards;benennen.;1;;;;x;x;;;;Lernende können Aufgabengebiete von Data Stewards benennen.;;
01_003_0045;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Aufgabengebiete von Data Stewards;erläutern.;2;;;;x;x;;;;Lernende können Aufgabengebiete von Data Stewards erläutern.;;
01_003_0046;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Rollen von Data Stewards;benennen.;1;;;x;x;x;;;;Lernende können Rollen von Data Stewards benennen.;;
01_003_0047;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Rollen von Data Stewards;erläutern.;2;;;;x;x;;;;Lernende können Rollen von Data Stewards erläutern.;;
01_003_0048;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Rollen von Data Stewards;diskutieren.;4;;;;x;x;x;x;x;Lernende können Rollen von Data Stewards diskutieren.;;
01_003_0049;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;eigene Verantwortlichkeiten und Aufgabenbereiche als Data Steward;erläutern.;2;;;;x;x;;x;;Lernende können eigene Verantwortlichkeiten und Aufgabenbereiche als Data Steward erläutern.;;
01_003_0050;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;eigene Verantwortlichkeiten und Aufgabenbereiche als Data Steward;diskutieren.;4;;;;x;x;x;x;x;Lernende können eigene Verantwortlichkeiten und Aufgabenbereiche als Data Steward diskutieren.;;
01_003_0051;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM);benennen.;1;;;x;x;x;;;;Lernende können Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM) benennen.;;
01_003_0052;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM);erläutern.;2;;;x;x;x;;;;Lernende können Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM) erläutern.;;
01_003_0053;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM);anwenden.;3;;;x;x;x;x;x;x;Lernende können Methoden zur Koordination und Kommunikation zwischen den verschiedenen Personen im Forschungsdatenmanagement (FDM) anwenden.;;
01_003_0054;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;didaktische Szenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können didaktische Szenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM) konzipieren.;;
01_003_0055;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;didaktische Szenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können didaktische Szenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM) durchführen.;;
01_003_0056;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Beratungsszenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM) konzipieren.;;
01_003_0057;Grundlegende und übergreifende Konzepte;01;Personen und Rollen im Forschungsdatenmanagement (FDM);01_003;Lernende können;Beratungsszenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungsszenarien zum Thema Personen und Rollen im Forschungsdatenmanagement (FDM) durchführen.;;
01_004_0058;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;die Elemente und Ziele von Forschungsdaten-Policies;benennen.;1;;x;x;x;x;;;;Lernende können die Elemente und Ziele von Forschungsdaten-Policies benennen.;;
01_004_0059;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;die Elemente und Ziele von Forschungsdaten-Policies;erläutern.;2;;x;x;x;x;;;;Lernende können die Elemente und Ziele von Forschungsdaten-Policies erläutern.;;
01_004_0060;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;die Relevanz von Forschungsdaten-Policies;erläutern.;2;;;x;x;x;;;;Lernende können die Relevanz von Forschungsdaten-Policies erläutern.;;
01_004_0061;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;den Nutzen von Forschungsdaten-Policies;erläutern.;2;;;x;x;x;;;;Lernende können den Nutzen von Forschungsdaten-Policies erläutern.;;
01_004_0062;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;den Unterschied zwischen fachspezifischen und institutionellen Forschungsdaten-Policies;erläutern.;2;;;x;x;x;;;;Lernende können den Unterschied zwischen fachspezifischen und institutionellen Forschungsdaten-Policies erläutern.;;
01_004_0063;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Forschungsdaten-Policies kritisch;diskutieren.;4;;;x;x;x;x;x;x;Lernende können Forschungsdaten-Policies kritisch diskutieren.;;
01_004_0064;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Unterschiede verschiedener Forschungsdaten-Policies;analysieren.;4;;;x;x;x;x;;;Lernende können Unterschiede verschiedener Forschungsdaten-Policies analysieren.;;
01_004_0065;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Forschungsdaten-Policies kritisch;bewerten.;5;;;x;x;x;x;;;Lernende können Forschungsdaten-Policies kritisch bewerten.;;
01_004_0066;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;fachspezifische Policies;benennen.;1;;x;x;x;x;;;;Lernende können fachspezifische Policies benennen.;;
01_004_0067;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;fachspezifische Policies;erläutern.;2;;;x;x;x;;;;Lernende können fachspezifische Policies erläutern.;;
01_004_0068;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;eigenständig Recherchen zu Forschungsdaten-Policies;durchführen.;3;;;x;x;;x;;;Lernende können eigenständig Recherchen zu Forschungsdaten-Policies durchführen.;;
01_004_0069;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;unter Anleitung Recherche zu Forschungsdaten-Policies;durchführen.;3;x;x;x;x;;x;;;Lernende können unter Anleitung Recherche zu Forschungsdaten-Policies durchführen.;;
01_004_0070;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;aus Policies einen Handlungsrahmen für Forschungsdatenmanagement (FDM)-Maßnahmen;entwickeln.;6;;;x;x;x;x;x;;Lernende können aus Policies einen Handlungsrahmen für Forschungsdatenmanagement (FDM)-Maßnahmen entwickeln.;;
01_004_0071;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Forschungsdaten-Policies auf Forschungsprojekte;anwenden.;3;;;x;x;x;x;;;Lernende können Forschungsdaten-Policies auf Forschungsprojekte anwenden.;;
01_004_0072;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;grundlegende Schritte zur Erstellung einer Forschungsdaten-Policy;benennen.;1;;;;x;x;;;;Lernende können grundlegende Schritte zur Erstellung einer Forschungsdaten-Policy benennen.;;
01_004_0073;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;grundlegende Schritte zur Erstellung einer Forschungsdaten-Policy;erläutern.;2;;;;x;x;;;;Lernende können grundlegende Schritte zur Erstellung einer Forschungsdaten-Policy erläutern.;;
01_004_0074;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Strategien zur Implementierung und Kommunikation von Forschungsdaten-Policies;entwickeln.;6;;;;x;x;x;x;;Lernende können Strategien zur Implementierung und Kommunikation von Forschungsdaten-Policies entwickeln.;;
01_004_0075;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;didaktische Szenarien zu Forschungsdaten-Policies;konzipieren.;6;;;;x;x;x;;;Lernende können didaktische Szenarien zu Forschungsdaten-Policies konzipieren.;;
01_004_0076;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;didaktische Szenarien zu Forschungsdaten-Policies;durchführen.;3;;;;x;x;x;x;x;Lernende können didaktische Szenarien zu Forschungsdaten-Policies durchführen.;;
01_004_0077;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Beratungsszenarien zu Forschungsdaten-Policies;konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zu Forschungsdaten-Policies konzipieren.;;
01_004_0078;Grundlegende und übergreifende Konzepte;01;Forschungsdatenmanagement (FDM)-Policies;01_004;Lernende können;Beratungsszenarien zu Forschungsdaten-Policies;durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungsszenarien zu Forschungsdaten-Policies durchführen.;;
01_005_0079;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;Phasen des Forschungsdatenlebenszyklus;benennen.;1;x;x;x;x;x;;;;Lernende können Phasen des Forschungsdatenlebenszyklus benennen.;;
01_005_0080;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;Phasen des Forschungsdatenlebenszyklus;erläutern.;2;x;x;x;x;x;;;;Lernende können Phasen des Forschungsdatenlebenszyklus erläutern.;;
01_005_0081;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können ;den Forschungsdatenlebenszyklus auf Forschungsprojekte;anwenden.;3;;;x;x;x;x;;;Lernende können  den Forschungsdatenlebenszyklus auf Forschungsprojekte anwenden.;;
01_005_0082;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;Forschungsdatenmanagement (FDM)-Maßnahmen in verschiedenen Phasen des Forschungsdatenlebenszyklus;benennen.;1;x;x;x;x;x;;;;Lernende können Forschungsdatenmanagement (FDM)-Maßnahmen in verschiedenen Phasen des Forschungsdatenlebenszyklus benennen.;;
01_005_0083;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;Forschungsdatenmanagement (FDM)-Maßnahmen in verschiedenen Phasen des Forschungsdatenlebenszyklus;erläutern.;2;;x;x;x;x;;;;Lernende können Forschungsdatenmanagement (FDM)-Maßnahmen in verschiedenen Phasen des Forschungsdatenlebenszyklus erläutern.;;
01_005_0084;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;eigene Tätigkeiten in einem Forschungsprozess den Stationen des Forschungsdatenlebenszyklus;zuordnen.;4;x;x;x;x;x;;x;;Lernende können eigene Tätigkeiten in einem Forschungsprozess den Stationen des Forschungsdatenlebenszyklus zuordnen.;;
01_005_0085;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;Tätigkeiten im Forschungsprozess den Phasen des Forschungsdatenlebenszyklus;zuordnen.;4;;x;x;x;x;x;;;Lernende können Tätigkeiten im Forschungsprozess den Phasen des Forschungsdatenlebenszyklus zuordnen.;;
01_005_0086;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;die Erstellung von Datenmanagementplänen innerhalb des Forschungsdatenlebenszyklus;erläutern.;2;;;x;x;x;;;;Lernende können die Erstellung von Datenmanagementplänen innerhalb des Forschungsdatenlebenszyklus erläutern.;;
01_005_0087;Grundlegende und übergreifende Konzepte;01;Forschungsdatenlebenszyklus;01_005;Lernende können;die Umsetzung von Datenmanagementplänen innerhalb des Forschungsdatenlebenszyklus;erläutern.;2;;;x;x;x;;;;Lernende können die Umsetzung von Datenmanagementplänen innerhalb des Forschungsdatenlebenszyklus erläutern.;;
